_title_norm,title,num_editions,edition_list
com/dcom,COM/DCOM,2,['1st ed.' '']
common  errors  in english,Common  Errors  in English,2,['24th ed' '1st ed.']
common errors in english,Common Errors in English,4,['1st' '1st ed.' '24th ed' '']
communication networks,Communication Networks,4,['11th pri.' '2' '2nd' '1st ed.']
communication systems,Communication Systems,6,['1st' '' '14th rep.' '4th' '2nd ed.' '1st ed.']
communication systems engineering,Communication Systems Engineering,2,"['2nd' ',, ,,']"
communication techniques & skills,Communication techniques & skills,2,['1st' '8 rev']
compiler design,Compiler Design,2,['1st ed.' '']
"compilers : principles, techniques and tools","Compilers : Principles, Techniques and Tools",2,['5th rep.' '5th ed.']
complete book of intelligence tests,Complete Book of Intelligence Tests,2,['1st ed.' '']
complete java 2 certification : study guide,Complete Java 2 Certification : Study Guide,2,['1st' '2nd']
complete reference in c++,Complete Reference in C++,2,['1st' '4th']
complex analysis,Complex Analysis,2,['1st' '3rd ed.']
complex variables and applications,Complex Variables and Applications,2,['6th' '8th ed.']
complex variables: theory & problems,Complex Variables: Theory & Problems,2,['1st ed.' '2nd ed.']
computer architecture & organisation,Computer Architecture & Organisation,2,['1st' '3rd ed.']
computer based industrial control,Computer Based Industrial Control,2,['4th' '1st']
computer control of processes,Computer Control of Processes,3,['1st' '1st ed.' '']
computer fundamentals,Computer Fundamentals,5,['2nd ed.' '' '1st' '3rd' '1st ed.']
computer graphics,Computer Graphics,3,['2nd ed.' '2nd rep ed.' '2nd']
computer graphics : principles and practice,Computer Graphics : Principles and Practice,4,['2nd ed.' '' '6th rep' '6th pri.']
computer graphics and design,Computer Graphics and Design,2,['1st' '1st ed.']
computer networking,Computer Networking,2,['1st' '2nd']
computer networks,Computer Networks,8,['3rd ed.' '' '3rd' '10th' '5th' '4th' '2nd' '1st ed.']
computer organisation & architecture,Computer Organisation & Architecture,2,['1st' '7th']
computer organisation and design,Computer Organisation and Design,2,['2nd' '1st']
computer organization,Computer Organization,2,['1st ed.' '5th']
computer organization & design,Computer Organization & Design,2,['3rd' '1st']
computer oriented numerical methods,Computer oriented numerical methods,3,['3rd' '' '1st ed.']
computer science question bank bible,Computer Science Question Bank Bible,2,['1st ed.' '']
computer system architecture,Computer system architecture,5,['3rd ed.' '' '1st ed.' '3rd' '13th pri.']
computer vision:modern approach,Computer Vision:Modern Approach,2,['1st ed.' '']
computers today,Computers today,2,['1st ed.' '']
concepts of modern physics,Concepts of Modern Physics,2,['6th' '1st ed.']
concise inorganic chemistry,Concise Inorganic Chemistry,2,['5th' '']
concrete manual,Concrete Manual,3,['4th rep.' '1st' '']
"concrete structures for storage of liquids:code of practice: part 1, general requirements","Concrete Structures for Storage of Liquids:Code of Practice: Part 1, General Requirements",2,['1st ed.' '']
"concrete structures for storage of liquids:code of practice: part 2, reinforced concrete structure","Concrete Structures for Storage of Liquids:Code of Practice: Part 2, Reinforced Concrete Structure",2,['1st ed.' '']
concrete technology,Concrete Technology,3,['3rd ed.' '1st ed.' '']
construction equipment & job planning,Construction Equipment & Job Planning,2,['1st ed.' '']
construction project management: planning scheduling & controlling,Construction Project Management: Planning Scheduling & Controlling,2,['1st ed.' '']
contemporary linear systems using matlab,Contemporary Linear Systems Using MATLAB,2,['1st ed.' '']
control of electrical drives,Control of Electrical Drives,2,['3rd ed.' '']
control system engineering,Control System Engineering,3,['3rd rep' '4th' '5th']
control systems,Control Systems,3,['3rd' '1st' '3rd ed.']
conventional & obj. type quest.& ans.on mech.eng.,Conventional & Obj. Type Quest.& Ans.on Mech.Eng.,3,['1st rep.' '23rd' '23rd ed.']
course in docks and harbor engineering,Course in Docks and Harbor Engineering,2,['1st ed.' '']
course in electrical circuit analysis,Course in Electrical Circuit Analysis,2,['1st' '']
cryptography & network security,Cryptography & Network Security,2,['4th ed.' '4th']
