_title_norm,title,num_editions,edition_list
mechanical measurement,Mechanical Measurement,4,['3rd ed.' '' '11th ed.' '1st ed.']
c++ faqs,C++ FAQs,4,['2nd ed.' '1st ed.' '' '2nd']
modern physics for engineers,Modern Physics for Engineers,4,['1st ed.' '2nd' '4th ed.' '7th ed.']
heat transfer,Heat Transfer,4,['9th ed' '9th ed.' '2nd' '1st ed.']
heat and mass transfer,Heat and Mass Transfer,4,['1st ed.' '' '6th' '1st']
common errors in english,Common Errors in English,4,['1st' '1st ed.' '24th ed' '']
surveying vol.1,Surveying Vol.1,4,['2nd ed.' '1st ed.' '17th ed.' '17 ed.']
communication networks,Communication Networks,4,['11th pri.' '2' '2nd' '1st ed.']
mobile communications,Mobile Communications,4,['7th rep.' '7th ed.' '2nd' '2nd ed.']
introduction to mechatronics & measurement systems,Introduction to Mechatronics & Measurement Systems,4,['2nd' '1st' '1st ed.' '']
advanced computer architecture,Advanced Computer Architecture,4,['1st ed.' '' '1st' '10th']
modern digital electronics,Modern digital electronics,4,['2nd' '2nd ed.' '3rd ed.' '4th ed.']
computer graphics : principles and practice,Computer Graphics : Principles and Practice,4,['2nd ed.' '' '6th rep' '6th pri.']
database system concepts,Database System Concepts,4,['3rd' '4th' '6th' '1st ed.']
let us c,Let Us C,4,['3rd' '1st' '3rd rev.' '2nd']
programming with c,Programming With C,4,['13th rep.' '1st' '2nd' '1st ed.']
electric circuits,Electric Circuits,4,['4th' '4th ed.' '8th ed.' '5th']
fluid mechanics: fundamentals of applications,Fluid Mechanics: Fundamentals of Applications,4,['1st ed.' '' '2ed.' '2th ed']
electronic communications,Electronic communications,4,['1st ed.' '' '4th ed.' '4th']
wireless communication,Wireless Communication,4,['2nd ed.' '1st' '' '2nd']
e- commerce: strategy technology and applications,E- Commerce: Strategy Technology and Applications,4,['1st' '15th re print' '1st ed.' '2nd']
production and operations management,Production and operations management,4,['2nd' '1st' '3rd ed.' '5th ed.']
principles and practice of management,Principles and practice of management,4,['rev ed' '7th ed.' '1st ed.' '9th ed.']
organisational behaviour,Organisational Behaviour,4,['10th ed.' '2nd ed.' '4th ed.' '3rd ed.']
digital logic and computer design,Digital Logic and computer Design,4,['1st ed.' '26th.rep' '13th pri.' '1st']
quantitative methods,Quantitative Methods,4,['3rd ed.' '3rd' '3rd rev.' '4th ed.']
digital fundamentals,Digital Fundamentals,4,['3rd ed.' '8th' '1st' '8th ed.']
financial accounting,Financial Accounting,4,['3rd' '1st' '8th pri.' '1st ed.']
principles of marketing,Principles of Marketing,4,['1st ed.' '10th' '11th ed.' '12th ed.']
power plant engineering,Power Plant Engineering,4,['1st ed.' '6th ed.' '2nd' '3rd ed.']
design with pic micro controllers,Design with PIC Micro controllers,4,['1st' '2nd ed.' '7th' '1st ed.']
fundamentals of database systems,Fundamentals of Database Systems,4,['3rd' '1st' '5th ed.' '1st ed.']
electric machines,Electric Machines,4,['2nd' '4th ed.' '3rd' '3rd ed.']
engineering mechanics dynamics,Engineering Mechanics Dynamics,4,['5th' 'si ed' '6th ed.' '1st ed.']
physical chemistry,Physical chemistry,4,['1st ed.' '7th ed.' '5th' '4th']
engineering mechanics,Engineering Mechanics,4,['5th' '3rd' '1st ed.' '']
electrical engineering materials,Electrical Engineering Materials,4,['2nd' '1st' '1st ed.' '']
