_title_norm,title,quantity
finance sense finance for finance executives,Finance Sense Finance for Finance Executives,4
hamlet,Hamlet,4
financial management: principles & practice,Financial Management: Principles & Practice,4
discrete-time : speech signal processing,Discrete-Time : Speech Signal Processing,4
gate guide-2017 computer science & information technology,GATE GUIDE-2017 Computer Science & Information Technology,4
financial management : theory and practice,Financial Management : Theory and Practice,4
gate guide-2017 electronics & communication engineering,GATE GUIDE-2017 Electronics & Communication Engineering,4
discrete time control systems,Discrete time Control Systems,4
dictionary of accounting,Dictionary of Accounting,4
distributed systems ; principles and paradigms,Distributed Systems ; Principles and Paradigms,4
digital systems : principles & applications,Digital Systems : Principles & Applications,4
"networks, lines and fields","Networks, Lines and Fields",4
discrete mathematical structures with application to computer science,Discrete mathematical structures with application to Computer Science,4
surveying vol.3,Surveying Vol.3,4
finite element procedures,Finite Element Procedures,4
guide for ies mechanical engineering,Guide for IES Mechanical Engineering,4
discrete systems laboratory using matlab,Discrete Systems Laboratory Using MATLAB,4
"surveying, vol.1.","Surveying, Vol.1.",4
system software,System Software,4
gate 2020 : mechanical engineering,GATE 2020 : Mechanical engineering,4
english hindi dictionary,English Hindi Dictionary,4
"the c odyssey unix - the open, boundless c","The C Odyssey Unix - The Open, Boundless C",4
business data communication & networking,Business data communication & networking,3
strength of materials and structural analysis,Strength of materials and structural analysis,3
red hat linux 6,Red hat linux 6,3
introduction to analog &....communications,Introduction to Analog &....Communications,3
learning tableau 10,Learning Tableau 10,3
thinking strategically,Thinking Strategically,3
prinicples of wireless communication,Prinicples of Wireless Communication,3
electronic circuits,Electronic circuits,3
java server pages,Java Server Pages,3
business enviroment,Business enviroment,3
unix network......... programming vol.1,Unix Network......... Programming VOL.1,3
organisational behaviour: text & cases,Organisational Behaviour: text & cases,3
practical malware analysis: the hands-on guide to dissecting malicious software,Practical Malware analysis: The hands-on guide to dissecting malicious software,3
discrete time signal processing,Discrete time Signal Processing,3
java:complete refrence,JAVA:Complete Refrence,3
introduction of vlsi circuits & systems,Introduction of VLSI Circuits & Systems,3
leading issues in economic development,Leading Issues in Economic Development,3
c# net,C# Net,3
internetworking with tcp/ip vol.1,Internetworking with TCP/IP VOL.1,3
nano: the essentials understanding nano science & nanotechnology,NANO: The Essentials Understanding Nano science & Nanotechnology,3
fundamentals of industrial instrumentation & process control,Fundamentals of Industrial Instrumentation & Process Control,3
unix: concepts & applications,UNIX: Concepts & Applications,3
electricity & magnetism vol-2,Electricity & Magnetism vol-2,3
unix: networking programming interprocessing communication vol-ii,UNIX: Networking Programming interprocessing communication vol-II,3
business opportunities,Business opportunities,3
thinking in c++,Thinking in C++,3
romantic poems,Romantic poems,3
"electrical machines, drives and power systems","Electrical Machines, Drives and Power Systems",3
circuit design with vhdl,Circuit Design with VHDL,3
complex variables and applications,Complex Variables and Applications,3
cloud computing for dummies,Cloud computing for DUMMIES,3
operation management,Operation Management,3
cmos: circuit design layout &simulation,CMOS: Circuit Design Layout &Simulation,3
introduction to probablity models,Introduction to Probablity Models,3
introduction to probability and statistics for engineeers and scientists,Introduction to probability and statistics for engineeers and scientists,3
using java 1.2,Using java 1.2,3
statistics for business and economics,Statistics for Business and Economics,3
robotics,ROBOTICS,3
introduction to microprocessors,Introduction to Microprocessors,3
introduction to measurements and instrumentation,Introduction to measurements and instrumentation,3
introduction to mathematical economics,Introduction to Mathematical Economics,3
introduction to languages & theory of computation,Introduction to Languages & Theory of Computation,3
introduction to graph theory,Introduction to Graph Theory,3
introduction to flight,Introduction to Flight,3
total quality management:an integrated approach,Total Quality Management:An Integrated Approach,3
topology,Topology,3
introduction to electromagnetic fields 3rd,Introduction to Electromagnetic Fields 3rd,3
introduction to econometric,Introduction to Econometric,3
economic development,Economic Development,3
economic survey 2007-08,Economic Survey 2007-08,3
principles of electronics &communication: analog&digital,Principles of Electronics &Communication: Analog&Digital,3
complete book of intelligence tests,Complete Book of Intelligence Tests,3
reinforced  concrete design: s n sinha,Reinforced  concrete design: S N Sinha,3
reinforced concrete,Reinforced Concrete,3
understanding combustion,Understanding Combustion,3
reinforced concrete design of tall buildings,Reinforced Concrete Design of Tall Buildings,3
doing data science: straight talk from the frontline,Doing Data Science: straight talk from the frontline,3
gate electronics and communication engineering: objective questions with detailed answers,Gate electronics and communication engineering: Objective questions with detailed answers,3
introduction to coding theory,Introduction to Coding Theory,3
multimedia in practice,Multimedia in Practice,3
religion in india,Religion in India,3
fundamentals of signals & systems,Fundamentals of Signals & Systems,3
operating systems concepts,Operating Systems Concepts,3
introduction to vlsi design,Introduction to VLSI design,3
introduction to vlsi circuits & systems,Introduction to VLSI Circuits & Systems,3
gate electrical engineering: objective questions with detailed answers,Gate electrical engineering: Objective questions with detailed answers,3
introduction to topology & modern analysis,Introduction to Topology & Modern Analysis,3
principles of communication systems simulation with wireless application,Principles of Communication Systems Simulation with Wireless Application,3
twentieth century literary criticism,Twentieth century literary criticism,3
rabbit run,Rabbit run,3
understanding psychology,Understanding Psychology,3
structural analysis vol.2,Structural Analysis Vol.2,3
enterprise resource planning concepts and practice,Enterprise resource planning concepts and practice,3
finite element method,Finite element method,3
advanced theory of semiconductor devices,Advanced Theory of Semiconductor Devices,3
engineering surveying,Engineering Surveying,3
engineering optimization : methods and application,Engineering optimization : Methods and application,3
numerical methods with computers,Numerical Methods with Computers,3
numerical methods using matlab,Numerical Methods using Matlab,3
an introduction ot the finite element methods,An Introduction ot The Finite Element Methods,3
professional ethics and human values,Professional Ethics and Human Values,3
mechanical engineering of competitions,Mechanical Engineering of competitions,3
engineering mechanics: n,Engineering Mechanics: n,3
mechanical engineering,Mechanical Engineering,3
programming & customizing the avr micro controller,Programming & Customizing the AVR Micro controller,3
an introduction to fiber optics,An Introduction to Fiber Optics,3
an introduction to genetic algorithms,An Introduction to Genetic Algorithms,3
an introduction to linear algebra,An Introduction to Linear algebra,3
an introduction to ordinary differential equations,An introduction to ordinary differential equations,3
physical chemistry. -  vol-1,Physical chemistry. -  vol-1,3
an introduction to the mechanics of solids,An Introduction to the Mechanics of Solids,3
analog and digital signal processing,Analog and Digital Signal Processing,3
programming in c & c++,Programming in C & C++,3
mathematics for class xii part b,Mathematics for Class XII Part B,3
mathematics for class xi volume ii: including part b & c,Mathematics for Class XI Volume II: Including Part B & C,3
mathematics for class xi volume i,Mathematics for Class XI Volume I,3
windows 98 in easy steps,Windows 98 in easy steps,3
microbial ecology,Microbial Ecology,3
building materials,Building Materials,3
microbial ecology: fundamantals & applications,Microbial Ecology: Fundamantals & Applications,3
you get one shot at life aim for success,You get one shot at life aim for success,3
system simulation /[by] geoffrey gordan,System simulation /[by] Geoffrey Gordan,3
system programming,System Programming,3
8088 and 8086 microprocessers:---applications,8088 and 8086 microprocessers:---applications,3
modern concepts of microbiology,Modern Concepts of Microbiology,3
writing test through c,Writing Test Through C,3
world trade and payment : an introduction,World Trade and Payment : An Introduction,3
a first course in probability,A First Course in Probability,3
plant biotechnology : new products and application,Plant Biotechnology : New Products and Application,3
principles of digital communication,Principles of digital communication,3
working with visual logic:: a user's guide,Working with Visual Logic:: a user's Guide,3
word power made easy,Word Power Made Easy,3
process control systems & instrumentation,Process Control Systems & Instrumentation,3
system analysis & design,System Analysis & Design,3
microwave engineering : passive circuits,Microwave Engineering : Passive Circuits,3
wireless network evolution 2g to 3 g,Wireless Network Evolution 2G to 3 G,3
financial accounting for business managers,Financial accounting for business managers,3
wireless network evaluation,Wireless Network Evaluation,3
microprocessors pc hardware & interfacing,Microprocessors PC hardware & Interfacing,3
microprocessors,Microprocessors,3
wireless communication & networking,Wireless Communication & Networking,3
financial markets & corporate startegy 2nd,FINANCIAL MARKETS & CORPORATE STARTEGY 2ND,3
wireless communicaiton: principles and practice,Wireless communicaiton: principles and practice,3
wastewater engineering,Wastewater Engineering,3
foundations for microwave engineering,Foundations for microwave engineering,3
engineeering optimization,Engineeering Optimization,3
succeding in interviews,Succeding in Interviews,3
vibrations and noise for engineers,Vibrations and Noise for Engineers,3
vhdl: programming by example,VHDL: Programming by Example,3
management : text and cases,Management : Text and Cases,3
basic electrical engineering with numerical proble,Basic Electrical Engineering with Numerical Proble,3
basic electrical engineering007451587x,Basic Electrical Engineering007451587X,3
basic electronics,Basic Electronics,3
oracle pl/sql programming,Oracle PL/SQL Programming,3
basic quantum mechanics,Basic Quantum Mechanics,3
version originale 2: text,Version Originale 2: text,3
version originale 2: exercise,Version Originale 2: exercise,3
version originale 1: text,Version originale 1: text,3
macroeconomic theory and policy,Macroeconomic Theory and Policy,3
big data: principles and best practices of scalable real - time data systems,Big Data: principles and best practices of scalable real - time data systems,3
electronics instruments and instrumentation technology,Electronics Instruments and Instrumentation Technology,3
bioinstrumentation,Bioinstrumentation,3
fundamentals of data structure,Fundamentals of Data Structure,3
"log-voltage,low-power vlsi subsystems","Log-Voltage,Low-Power VLSI Subsystems",3
living traditions in contemperory contexts,Living Traditions in Contemperory Contexts,3
linux,LINUX,3
quantum nation,Quantum Nation,3
morden vlsi design: systems on chip design,Morden VLSI Design: Systems on Chip Design,3
queing theory & telecommunication:networks & applications,Queing Theory & Telecommunication:Networks & Applications,3
mordern physics: theory of problems,Mordern Physics: theory of Problems,3
elementary numerical analysis:: an algorithms,Elementary Numerical Analysis:: an algorithms,3
fundamentals of aerodynamics,Fundamentals of Aerodynamics,3
elementary statistical mechanics,Elementary statistical mechanics,3
programming with java,Programming with Java,3
"energy technology: nonconventional, renewable and conventional","Energy Technology: nonconventional, renewable and conventional",3
applied coding & information theory for engineers 2nd,Applied Coding & Information Theory for Engineers 2nd,3
from waste to profits,From Waste to Profits,3
fuel & combustion,Fuel & combustion,3
mastering windows 2000 server,Mastering Windows 2000 Server,3
vocabulary for learners of german: a comprehensive thesaures,Vocabulary for learners of german: a comprehensive thesaures,3
encyclopedia of electronic circuits,Encyclopedia of Electronic Circuits,3
mastering c++,Mastering C++,3
applied numerical methods.......using matlab and c,Applied Numerical Methods.......Using MATLAB and C,3
mastering algorithms with c,Mastering algorithms with C,3
embedded microcontroller,Embedded Microcontroller,3
modern wireless communications,Modern Wireless Communications,3
fundamental of digital signal processing: using matlab,Fundamental of Digital Signal Processing: Using Matlab,3
artificial intelligence & intelligent systems,Artificial Intelligence & Intelligent Systems,3
artificial intelligence :a modern approach,Artificial Intelligence :A Modern Approach,3
artificial intelligence with microsoft power bi,Artificial Intelligence with Microsoft Power BI,3
fundamental of information technology,Fundamental of Information Technology,3
practical data science with r,Practical Data Science with R,3
project planning and control: pert & cpm,Project Planning and Control: PERT & CPM,3
elements of partial differential equations,Elements of partial differential equations,3
elements of numerical analysis,Elements of Numerical Analysis,3
automotive handbook,Automotive Handbook,3
"basic electronics : devices, circuits and it fundamentals","Basic Electronics : Devices, Circuits and IT Fundamentals",3
international monay and finance,International monay and finance,3
digital signal processing: a morden introduction,Digital Signal Processing: A Morden Introduction,3
digital & analog communication systems,Digital & Analog Communication Systems,3
i have a dream,I have a dream,3
concepts of physics part -i,Concepts of Physics Part -I,3
social media marketing,Social media marketing,3
digital fundamental,Digital fundamental,3
neural networks and learning machines,Neural networks and learning machines,3
nanotechnology: a future technology with visions,Nanotechnology: A Future Technology with Visions,3
digital system: principles and design,Digital system: Principles and Design,3
semiconductor optoelectronic devices,Semiconductor Optoelectronic Devices,3
ignited minds unleashing the power within india,Ignited minds unleashing the power within India,3
semiconductor physics & devices,Semiconductor Physics & Devices,3
industrial robotics,Industrial Robotics,3
handbook of aerial photography and interpretation,Handbook of Aerial Photography and Interpretation,3
theory of computation,Theory of Computation,3
sensors & transducers,Sensors & Transducers,3
industrial maintenance management,Industrial Maintenance Management,3
digital & analog  communication systems,Digital & Analog  Communication Systems,3
industrial instrumentation: principles and design,Industrial Instrumentation: principles and design,3
service marketing                                                                                                                                                                                                                                                                                        service marketing: people technology strategy,Service Marketing                                                                                                                                                                                                                                                                                        Service Marketing: People Technology Strategy,3
computers and commonsense,Computers and commonsense,3
implenting sap r/3.......distribution,Implenting SAP R/3.......Distribution,3
head first python,Head first python,3
the hills of angheri,The Hills of Angheri,3
handbook of gear design,Handbook of Gear Design,3
thermal physics,Thermal Physics,3
german elementry grammar: the english version of grundgrammatik deutsch,German elementry grammar: the english version of grundgrammatik deutsch,3
deep learning using python,Deep learning using python,3
digital systems : principles and applications,Digital Systems : Principles and Applications,3
digital satellite communciactions,Digital Satellite Communciactions,3
"data structures, algorithms and object-oriented ..","Data Structures, Algorithms and Object-Oriented ..",3
html by example,HTML by Example,3
security in computer,Security in Computer,3
neuro fuzzy & soft computing,Neuro Fuzzy & Soft Computing,3
sea of poppies,Sea of poppies,3
instrumentation : devices and systems,Instrumentation : Devices and Systems,3
html & xhtml: the complet reference,HTML & XHTML: the Complet Reference,3
operational amplifiers and linear ics,Operational Amplifiers and linear ICs,3
neural networks: a comprehensive foundation,Neural Networks: a comprehensive foundation,3
neural network,Neural Network,3
theory & problems of engineering economics,Theory & Problems of Engineering Economics,3
"options,futures and other derivatives","Options,Futures and Other Derivatives",3
theory & applications of digital signal processing,Theory & Applications of Digital Signal Processing,3
getting started with matlab 7,Getting Started with MATLAB 7,3
digital signal processing: signal systems filters,Digital Signal Processing: Signal Systems Filters,3
data structures algorithms & application in c++,Data Structures Algorithms & Application in C++,3
integrated electronics: analog and digital .. sys.,Integrated Electronics: Analog and Digital .. Sys.,3
"construction planning, equipment and methods","Construction planning, equipment and methods",3
theory & problems of electronic devices & circuits,Theory & problems of Electronic Devices & Circuits,3
"guide to bhel, bharat heavy electronics limited engineer trainees electronics engg.","Guide to BHEL, Bharat heavy electronics limited engineer trainees electronics engg.",3
operations research,Operations Research,3
corrosion engineering,Corrosion Engineering,3
data structures,Data Structures,3
cost and management accounting,Cost and Management Accounting,3
singals and system,Singals and System,3
theory of alternating ..machinaery,Theory of alternating ..machinaery,3
digital systems principles and application,Digital Systems Principles And Application,3
graph theory,Graph theory,3
signals & systems,Signals & Systems,3
gre -2009,GRE -2009,3
discrete mathematical structure,Discrete Mathematical Structure,3
cryptography and network security principe and practice,Cryptography and Network Security Principe and Practice,3
neural networks,Neural Networks,3
the complete pc upgrade & maintenance guide,The Complete PC Upgrade & maintenance guide,3
"sale of goods act,1930","Sale of goods act,1930",3
internet and world wide web:how to program,Internet and World Wide Web:how to program,3
graphic under c,Graphic Under C,3
silicon vlsi technology,Silicon VLSI Technology,3
principles of communication engineering,Principles of Communication Engineering,3
computer oriented numerical,Computer oriented numerical,3
hard times,Hard Times,3
data mining : concept & technique,Data Mining : Concept & Technique,3
human computer interaction,Human Computer Interaction,3
sapr/3 handbook,SAPR/3 Handbook,3
fundamental of artificial neural network,Fundamental of Artificial Neural Network,2
"probability, random variables & stochastic  processes","Probability, Random Variables & Stochastic  Processes",2
foundation engineering,Foundation Engineering,2
engineering drawing practice for school colleges:: sp46:2003,Engineering Drawing Practice for School Colleges:: SP46:2003,2
basic communication skills for technology978817808283,Basic Communication Skills for Technology978817808283,2
hydraulic mechines : theory and design,Hydraulic Mechines : Theory and Design,2
telecommunications and the computer,Telecommunications and The Computer,2
great ...india : veda 3 sama veda,Great ...India : Veda 3 Sama Veda,2
slow murder: the deadly story of vehicular pollution in india,Slow murder: the deadly story of vehicular pollution in India,2
personnel mangement,Personnel Mangement,2
indian polity,Indian Polity,2
data structures and algorithm analysis in c,Data structures and algorithm analysis in C,2
data communication times,Data communication times,2
digital electronics demystified,Digital Electronics Demystified,2
mathematics,Mathematics,2
personnel management & human resource,Personnel Management & Human Resource,2
elements of electromagnetics,Elements of Electromagnetics,2
programming language concepts,Programming Language Concepts,2
digital image processing & analysis,Digital Image Processing & Analysis,2
appplied economics,Appplied Economics,2
"theory and design of irrigation structures, vol. ii","Theory and design of irrigation structures, Vol. II",2
avr microcontroller and embedded sysyems: using assembly and c,Avr microcontroller and embedded sysyems: using assembly and c,2
and then there were none,And then there were none,2
telemetry & data transmission,Telemetry & Data Transmission,2
objectives and problems in physics,Objectives and Problems in Physics,2
data structures & algorithms,Data Structures & Algorithms,2
"indian parternership act,1932","Indian Parternership act,1932",2
mathematics for economics analysis,Mathematics for Economics Analysis,2
analog vlsi: circuits & principles,Analog VLSI: Circuits & Principles,2
applied thermodynamics for engineering technology,Applied thermodynamics for engineering technology,2
matlab programming for engineers,Matlab programming for engineers,2
programming android,Programming Android,2
engineering materials 8th,Engineering Materials 8th,2
human resource management : a contemp. perspective,Human Resource Management : A Contemp. Perspective,2
income tax :: law & practice,Income Tax :: Law & Practice,2
engineering maintainability,Engineering Maintainability,2
digital design: principles  & practices,Digital Design: Principles  & Practices,2
matsya purana,Matsya Purana,2
an introduction to the finite element method,An Introduction to the Finite Element Method,2
digital electronics & logic design,Digital Electronics & logic Design,2
matlab: an introduction with applications,MATLAB: An Introduction with Applications,2
"matlab, for engineers explained","MATLAB, for Engineers Explained",2
speaking english effectively,Speaking English Effectively,2
manufacturing technology:theory and practice,Manufacturing Technology:Theory and Practice,2
analog & digital communication systems,Analog & Digital Communication Systems,2
society and environment,Society and Environment,2
skanda purana,Skanda Purana,2
data structures and algorithms made easy in java,Data structures and algorithms made easy in Java,2
management accounting: principles & practice,Management Accounting: Principles & Practice,2
analog communication systems,Analog communication systems,2
hvdc power transmission systems:: technology and system interaction,HVDC Power transmission systems:: technology and system interaction,2
cybersecurity for space,Cybersecurity for Space,2
engineering graphics with autocad 2002,Engineering Graphics with AutoCad 2002,2
elementary linear algebra,Elementary Linear Algebra,2
social science of encyclopedia,Social Science of Encyclopedia,2
foundations of complex analysis,Foundations of complex analysis,2
properties of concrete,Properties of Concrete,2
annihilation of caste: with a reply to mahatma gandhi,Annihilation of caste: with a reply to Mahatma Gandhi,2
foundations of corporate success,Foundations of corporate Success,2
"snmp,snmp v2,snmp v3, & rmon 1 & 2","SNMP,SNMP V2,SNMP V3, & RMON 1 & 2",2
student reference manual : for electronic inst.lab,Student Reference Manual : For Electronic Inst.Lab,2
student reference manual,Student Reference Manual,2
marketing an introduction,Marketing An Introduction,2
india's struggle for independence,India's struggle for independence,2
data structure and programs design in c,Data Structure And Programs Design in C,2
data structures with c++,Data Structures with C++,2
modern production operations management,Modern Production Operations Management,2
data processing and information technology,Data Processing and Information Technology,2
elements of workshop technology,Elements of Workshop Technology,2
theory and design of adaptive filters,Theory and Design of Adaptive Filters,2
mastering blockchain,Mastering blockchain,2
visual basics : net programming,Visual Basics : Net Programming,2
emissions from two stroke engines,Emissions from two stroke engines,2
data network,Data Network,2
applying uml & patterns ; an introduction to object,Applying UML & Patterns ; An Introduction to Object,2
immortals of meluha: book 1 of the shiva trilogy,Immortals of meluha: book 1 of the shiva trilogy,2
fundamental of physics,Fundamental of physics,2
implementation of iso 9000:2000,Implementation of ISO 9000:2000,2
vlsi: design techniques for analog & digital circuits,VLSI: Design Techniques for Analog & Digital Circuits,2
applied speech and audio processing with matlab,Applied speech and Audio Processing with Matlab,2
fundamental of metal cutting & machine tools,Fundamental of Metal Cutting & Machine Tools,2
"asic,s to soc's :practical approach","ASIC,s to SOC's :Practical Approach",2
structured computer organization,Structured Computer Organization,2
visual c++6---reference,Visual c++6---reference,2
social change in modern india,Social Change in Modern India,2
material management & integrated approach,Material Management & Integrated Approach,2
oligopoly pricing: old ideas and new tools,Oligopoly Pricing: Old ideas and new tools,2
elements of material science,Elements of Material Science,2
automotive technology service and maintenance,Automotive technology service and maintenance,2
social psychology9780072413878,Social Psychology9780072413878,2
digital filters: analysis and design,Digital filters: analysis and design,2
power system transients : a statistical approach,Power System Transients : A Statistical Approach,2
objectives in electrical engineering,Objectives in Electrical Engineering,2
progrmming in c,Progrmming in C,2
embedded ethernet & internet complete,Embedded Ethernet & Internet Complete,2
programming microsoft visual c++,Programming Microsoft visual C++,2
foundry technology,Foundry technology,2
automotive technology manual transmissions,Automotive technology manual transmissions,2
indian national science academy award lectures,Indian National Science Academy Award Lectures,2
applied business statistics,Applied Business Statistics,2
indian contract act,Indian contract act,2
material science and technology,Material Science and Technology,2
automation production systems. and comp. inte. manufacturing,Automation Production Systems. and Comp. Inte. Manufacturing,2
data mining and predictive analytics,Data mining and predictive analytics,2
digital instrumentation,Digital Instrumentation,2
applied coding & information theory for engineers: prentice hall information & systems sciences serie,Applied coding & information theory for engineers: Prentice Hall Information & Systems Sciences Serie,2
objectives in electronics and telecommunication: question bank in electronics & telecommunication,Objectives in Electronics and Telecommunication: Question Bank in Electronics & Telecommunication,2
theory and performance---machines,Theory and performance---machines,2
idris: keeper of the light,IDRIS: keeper of the light,2
manufacturing ...systems,Manufacturing ...systems,2
visual basic .net programming,Visual Basic .Net Programming,2
manufacturing planning & control for supply chain management,Manufacturing Planning & Control for Supply Chain Management,2
managing stress,Managing Stress,2
computer graphics : a programming approach,Computer Graphics : A Programming Approach,2
principles and practices of accounting,Principles and Practices of Accounting,2
physics : for cbse eleventh class,Physics : For CBSE Eleventh Class,2
mobile & personal communication systems & service,Mobile & Personal Communication Systems & Service,2
a text book of electrical technical,A Text book of Electrical Technical,2
power station engineering and economy,Power Station Engineering and Economy,2
system analysis & design methods,System Analysis & Design Methods,2
a programmer's guide to java certification,A Programmer's Guide to Java Certification,2
teach yourself ...html in a week,Teach yourself ...HTML in a Week,2
planning and promotion of productivity,Planning and Promotion of Productivity,2
software project management : a unified framework,Software Project Management : A Unified Framework,2
soil mechanics in engineering practice,Soil Mechanics in Engineering Practice,2
process control,Process Control,2
process and ---manufacturing,Process and ---manufacturing,2
a first course in digital system design,A First course in digital system design,2
modelling and analysis of linear system,Modelling And Analysis of Linear System,2
modelling and simulation,Modelling and Simulation,2
dictionary of contemporary english,Dictionary of Contemporary English,2
process control instrumentation technology,Process Control Instrumentation Technology,2
designing & managing the supply chain,Designing & Managing the Supply Chain,2
differential equations,Differential Equations,2
"microsoft office project,2007 step by step","Microsoft office project,2007 step by step",2
wireless network & evalution 2g to 3g,Wireless Network & Evalution 2G to 3G,2
microprocessors theory & application intel & motolora,Microprocessors Theory & Application Intel & Motolora,2
microsoft asp net programming with visual c##,Microsoft asp net programming with Visual C##,2
switchgear protection and power systems,Switchgear Protection and Power Systems,2
modern microeconomics,Modern Microeconomics,2
environmental impact assessment and management,Environmental Impact Assessment and Management,2
financial evaluation of renewable energy technologies,Financial evaluation of Renewable energy Technologies,2
solar energy : fundamentals and applications,Solar Energy : Fundamentals and Applications,2
a text book on optical fiber communication and its applications,A Text book on optical fiber communication and its applications,2
process systems analysis and control,Process Systems Analysis and Control,2
design of machinery,Design of Machinery,2
a text book of material science and metallurgy,A Text Book of Material Science and Metallurgy,2
teach yourself visual basic 6,Teach yourself visual basic 6,2
"process modeling, simulation and control for chem.","Process Modeling, Simulation and Control for Chem.",2
tcp/ip network administration,TCP/IP NETWORK ADMINISTRATION,2
essentials of econometrics,Essentials of Econometrics,2
object-oriented database systems,Object-Oriented Database Systems,2
evolutionary computation,Evolutionary Computation,2
probablity and statistics with ..... comp.sc.,Probablity and Statistics with ..... Comp.Sc.,2
"3g network; architecture , protocol and procedures","3G Network; Architecture , Protocol and Procedures",2
systems simulation with digital computers,Systems Simulation with Digital Computers,2
3g network architecture protocol and procedures,3G Network Architecture Protocol and Procedures,2
feedback & control systems,Feedback & control systems,2
the intel microprocessors 8086/8088,The Intel Microprocessors 8086/8088,2
2000 solved problems in digital electronic,2000 Solved Problems in Digital Electronic,2
3g wireless networks,3G Wireless Networks,2
developing research proposals,Developing research proposals,2
examples in electrical calculation,Examples in electrical calculation,2
developing windows based application,Developing windows based application,2
100 selected poems,100 selected poems,2
0000 to 8085 introduction to microprocessors to engineering & scientists,0000 to 8085 introduction to Microprocessors to engineering & scientists,2
the intel microprocessors,The Intel Microprocessors,2
3g network; architecture protocol and procedures,3G Network; Architecture Protocol and Procedures,2
8051 microcontroller,8051 Microcontroller,2
fiber optics communication,Fiber optics communication,2
problems and solutions in higher engineering  mathematics vol. 1,Problems and solutions in higher engineering  mathematics Vol. 1,2
problems and solutions of control systems,Problems and Solutions of Control Systems,2
designing the user interface,Designing the user interface,2
"the mathernity benefit act,1961: as amended by the maternity.. act, 2008","The mathernity benefit act,1961: as amended by the maternity.. act, 2008",2
problems and solutions in higher engineering  mathematics vol. 2,Problems and solutions in higher engineering  mathematics Vol. 2,2
a course in --electrical technology,A course in --electrical technology,2
fiber optic communications,Fiber Optic Communications,2
ethics in engineering,Ethics in Engineering,2
feedback control of dynamic systems,Feedback control of Dynamic systems,2
network security: private communication in a public world,Network Security: Private Communication in a Public World,2
the knowledge management toolkit,The Knowledge Management Toolkit,2
europe on a shoestring: lonely planet,Europe on a Shoestring: Lonely Planet,2
handbook of lubrication (theo & prac of tribology),Handbook of Lubrication (Theo & Prac of Tribology),2
modern control system theory,Modern Control System Theory,2
8088 and 8086 microprocessers,8088 and 8086 microprocessers,2
environmental impact assessment : theory and practice,Environmental Impact Assessment : Theory and Practice,2
environmental engineering laboratory manual,Environmental Engineering Laboratory Manual,2
a user guide to the unix system,A User Guide to the Unix System,2
web warehousing & knowledge management,Web Warehousing & Knowledge Management,2
engineering network filter design,Engineering Network Filter Design,2
"alternative fuel technology: electric, hybrid, and fuel-cell vehicles","Alternative Fuel Technology: Electric, Hybrid, and fuel-cell Vehicles",2
database management systems 3rd,Database Management Systems 3rd,2
hrd & labour law referencer cum diary,HRD & Labour law referencer cum diary,2
theory & problems of international economics,Theory & Problems of International Economics,2
agni purana,Agni Purana,2
firewalls: a complete guide,Firewalls: A Complete Guide,2
engineering metallurgy,Engineering metallurgy,2
objective general knowledge,Objective General Knowledge,2
network for computer scientists engineering,Network for Computer Scientists Engineering,2
telecommunication & the computer,Telecommunication & the Computer,2
technical communication: principles and practice,Technical Communication: Principles and Practice,2
advanced microprocessors and microcontrollers,Advanced Microprocessors and Microcontrollers,2
advanced microprocessors and microcontroller,Advanced microprocessors and microcontroller,2
html,HTML,2
mechanical measurements,Mechanical measurements,2
production technology,Production technology,2
data warehousing data mining,Data Warehousing Data Mining,2
measurement instrumentation and experiment .......,Measurement Instrumentation and Experiment .......,2
huges electrical technology,Huges electrical technology,2
"html,dhtml, java script , perl cgi","HTML,DHTML, Java Script , Perl CGI",2
an introduction to fiber optic systems,An Introduction to Fiber Optic Systems,2
mechanical analysis & design,Mechanical Analysis & Design,2
programmable logic controllers,Programmable Logic Controllers,2
an introduction to digital computer design,An introduction to Digital Computer Design,2
"growth, employment and labour markets","Growth, Employment and Labour Markets",2
theory & problems of software engineering,Theory & Problems of Software Engineering,2
optical physics,Optical Physics,2
growth and development : with special ...economics,Growth and Development : With Special ...Economics,2
an introduction to accountancy,An Introduction to Accountancy,2
element of materials science and engineering,Element of Materials Science and Engineering,2
html 4,HTML 4,2
guide to nalco,Guide to NALCO,2
digital communications:theory and lab practice,Digital Communications:Theory and Lab Practice,2
abc of physics : for class xi,ABC of Physics : For Class XI,2
wireless communication systems: advanced techniques for signal reception,Wireless communication systems: Advanced Techniques for signal reception,2
microelectronic devices,Microelectronic Devices,2
the theory of machines,The Theory of Machines,2
financial mangement,Financial Mangement,2
microporcessors : theory and applications,Microporcessors : Theory and Applications,2
microprocessor & interfacing,Microprocessor & Interfacing,2
the story of my experiments with truth,The story of my experiments with truth,2
principles materials & process,Principles Materials & process,2
high school english grammar and composition,High School English Grammar and Composition,2
switchgear and protection,Switchgear and Protection,2
wireless communications: theory & techniques,Wireless communications: theory & techniques,2
microprocessor-based design,Microprocessor-Based Design,2
digital circuits & design,Digital circuits & design,2
accounting :theory and practice,Accounting :Theory and Practice,2
microprocessors & micro controllers 8085/8051: architecture program & systems design,Microprocessors & Micro controllers 8085/8051: Architecture Program & Systems Design,2
environmental encyclopedia,Environmental Encyclopedia,2
swamy's compilation of central civil services revised pay rules 2008,Swamy's compilation of central civil services revised pay rules 2008,2
mems,MEMS,2
winning resume,Winning resume,2
