_title_norm,title,quantity
computer programming in pascal,Computer Programming in PASCAL,33
feedback control system,Feedback Control System,33
digital integrated electronics,Digital Integrated Electronics,33
vhdl ; digital system design using,VHDL ; Digital System Design Using,33
multimedia: making it work,Multimedia: Making it Work,32
internet of things: a hands on approach,Internet of things: a hands on approach,32
material science and engineering,Material Science and Engineering,32
cdma 2000 system for mobile communication,CDMA 2000 System for Mobile Communication,32
microcomputer systems : the 8086/8088 family,Microcomputer Systems : The 8086/8088 Family,32
disaster management: text and case studies,Disaster management: text and case studies,32
optical fiber communications,Optical Fiber Communications,32
fundamentals of digital circuits,Fundamentals of Digital Circuits,32
"power electronics : circuits,devices and applicat.","Power Electronics : Circuits,Devices and Applicat.",32
internal combustion engine,Internal Combustion Engine,32
multimedia: systems technology & communications,Multimedia: Systems Technology & Communications,32
basic electronics and linear circuits,Basic Electronics and Linear Circuits,32
fundamentals of computers and programming with c,Fundamentals of Computers and Programming with C,32
production and operations management,Production and operations management,32
digital communications,Digital Communications,31
textbook of biotechnology,Textbook of Biotechnology,31
refrigeration and air conditioning,Refrigeration and Air Conditioning,31
digital image processing,Digital Image Processing,31
objective mathematics,Objective mathematics,31
electronic devices & circuits,Electronic Devices & Circuits,31
fundamental of digital image processing,Fundamental of Digital Image Processing,31
finite element analysis,Finite element analysis,31
visual modeling with rational rose 2002 & uml,Visual Modeling with Rational Rose 2002 & UML,31
control systems engineering,Control Systems Engineering,31
optical communication systems,Optical Communication Systems,31
e- commerce: strategy technology and applications,E- Commerce: Strategy Technology and Applications,31
digital  electronices,Digital  Electronices,31
calculus,Calculus,31
digital logic and computer design,Digital Logic and computer Design,31
vhdl analysis and modeling of digital system,VHDL Analysis and Modeling of Digital System,31
fundamentals of engineering heat and mass transfer: si units,Fundamentals of engineering heat and mass transfer: SI units,30
manufacturing technology: metal,Manufacturing Technology: metAL,30
field and wave electromagnetics,Field and Wave Electromagnetics,30
automotive electrical equipment,Automotive Electrical Equipment,30
design with operational amplifiers & analog integrated circuits,Design with Operational Amplifiers & Analog integrated Circuits,30
computer graphics : principles and practice,Computer Graphics : Principles and Practice,30
electronic principles,Electronic Principles,30
programming windows 3.1,Programming Windows 3.1,30
renewable energy sources and emerging technologies,Renewable energy sources and emerging technologies,30
general construction in steel :: code of practice,General Construction in Steel :: Code of Practice,30
unified modeling language user guide,Unified Modeling Language User Guide,30
systems programming,Systems Programming,30
concepts of modern physics,Concepts of Modern Physics,30
engineering drawing with an introduction to autocad,Engineering drawing with an introduction to autocad,30
