book_id,_unique_key,title,author,editionstatement,publishercode,copyrightdate,itemcallnumber,quantity
44,"a course in electrical electronics measurements and instrumentation||sawhney, a. k.||18th rev. ed.||dhanpat rai & sons||2007",A course in electrical electronics measurements and instrumentation,"Sawhney, A. K.",18th rev. ed.,DHANPAT RAI & SONS,2007,621.302 87 SAW; 39,1
45,a course in electrical engineering materials: 100 paid lost||seth (sp) & gupta (pv)||3rd||dhanpat rai & sons||2003,A Course in Electrical Engineering Materials: 100 Paid Lost,SETH (SP) & GUPTA (PV),3rd,DHANPAT RAI & SONS,2003,621.3 SET 23LRN.26870,1
46,a course in electrical engineering materials||seth (sp) & gupta (pv)||3rd||dhanpat rai & sons||2003,A Course in Electrical Engineering Materials,SETH (SP) & GUPTA (PV),3rd,DHANPAT RAI & SONS,2003,621.3 SET R,29
47,a course in electrical machine design||sawhney(ak)||5th||dhanpat rai & sons||2005,A Course in Electrical Machine Design,SAWHNEY(AK),5th,DHANPAT RAI & SONS,2005,621.3104 SAW 2,2
48,"a course in electrical machine design||sawhney, a. k.||1st ed.||dhanpat rai & sons||2001",A Course in Electrical Machine Design,"Sawhney, A. K.",1st ed.,DHANPAT RAI & SONS,2001,621.3104 SAW,2
49,"a course in electronic and ele. meas. and instrum.||gupta, j.b||12th||s.k kataria||2002",A Course in Electronic and Ele. Meas. and Instrum.,"Gupta, J.B",12th,S.K KATARIA,2002,621.30287 GUP,16
50,"a course in electronic and ele. meas. and instrum.||gupta, j.b||12th||s.k.kataria and sons.||2002",A Course in Electronic and Ele. Meas. and Instrum.,"Gupta, J.B",12th,S.K.KATARIA AND SONS.,2002,621.30287 GUP,9
51,"a course in phonetics and spoken english||sethi, j. and dhamija, p.v.||2nd||phi||2006",A Course in Phonetics and Spoken English,"Sethi, J. and Dhamija, P.V.",2nd,PHI,2006,421.5 SET,6
52,a course in power plant engineering||arora (s.c) and domkundwar (s)||4th||dhanpat rai & sons||1999,A Course in Power Plant Engineering,ARORA (S.C) AND DOMKUNDWAR (S),4th,DHANPAT RAI & SONS,1999,621.3121 ARO R,2
53,a course in power plant engineering||arora (s.c) and domkundwar (s)||5th rev.||dhanpat rai & sons||2002,A Course in Power Plant Engineering,ARORA (S.C) AND DOMKUNDWAR (S),5th Rev.,DHANPAT RAI & SONS,2002,621.3121 ARO 8,15
54,"a course in workshop technology vol.1||raghuwanshi, b.s.||10th ed.||dhanpat rai & co.||2009",A Course in Workshop Technology Vol.1,"Raghuwanshi, B.S.",10th ed.,Dhanpat Rai & Co.,2009,620 RAG,19
55,"a course in workshop technology vol.2||raghuwanshi, b.s.||9th rev. ed.||dhanpat rai & co.||2009",A Course in Workshop Technology Vol.2,"Raghuwanshi, B.S.",9th rev. ed.,Dhanpat Rai & Co.,2009,620 RAG,20
56,"a course in workshop technology||raghuwanshi, b.s||9th||dhanpat rai & sons||2002",A Course in Workshop Technology,"Raghuwanshi, B.S",9th,DHANPAT RAI & SONS,2002,620 RAG,122
57,a course of experiments with he-ne laser||sirohi (r.s)||2nd||wiley eastern||1991,A Course of Experiments with He-Ne Laser,SIROHI (R.S),2nd,WILEY EASTERN,1991,621.366 SIR 10,5
